,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,ST_Rev,LT_Rev,BAB,QMJ
200906,7.8385,5.2222,4.2376,2.6084,3.1348,6.3882,1.7937,1.1279,-2.3057,0.4471,1.8205,1.5176,-1.6709,0.4515,0.2079,1.9469,0.5313,-1.2511,-0.6853,-0.1776,1.7923,-1.6025,-0.1781,-0.8854,-1.6572,0.15,1.63,-0.07,-3.92,-2.8,0.66,-3.5,3.54,-6.73,-7.76,-1.51,3.41,-2.2,0.8,5.26,-3.53,-8.55,-12.09,-4.65,4.66,1.63,4.57,4.32,3.87,0.29,-0.6,-0.04,-3.1,-1.7,-6.34,0.43,2.32,-2.71,-1.07,-0.16,0.01,5.29,4.91,1.34,9.14,3.08
200907,8.6346,7.2777,9.1945,8.8982,13.7672,5.9891,6.945,12.1772,11.8954,13.377,6.9471,9.4486,10.0008,12.33,16.1072,7.6747,7.6476,9.4109,12.0153,11.0886,5.9145,8.842,7.6717,8.533,9.2835,8.07,3.71,7.45,13.94,16.78,10.27,12.03,5.52,16.73,36.05,13.42,3.19,15.63,12.05,15.54,5.57,13.15,15.8,5.05,4.35,5.42,5.11,10.74,15.21,10.94,9.01,7.24,2.26,8.36,9.4,7.72,2.43,5.27,-0.65,3.21,0.01,-5.36,4.39,4.94,-3.62,-4.40
200908,3.539,2.3466,3.6021,3.8684,10.1585,0.0246,0.7571,3.2678,4.1975,8.023,0.9976,0.9972,3.8186,4.478,11.6013,2.031,4.3861,3.2734,6.1339,15.3186,1.2249,4.4365,2.5292,6.2615,14.6504,0.75,-0.72,0.3,9.38,9.21,-0.81,3.16,2.2,1.79,1.4,6.79,3.51,1.96,1.97,2.18,11.11,3.44,1.36,0.71,0.21,1.03,2.53,2.34,4.19,3.33,4.56,3.87,2.95,10.2,3.24,3.33,-0.04,7.76,-3.04,3.2,0.01,-8.84,-2.13,5.45,-2.18,-6.50
200909,5.1408,5.4356,4.9629,6.3982,9.0533,8.0062,6.1326,7.3914,5.4986,8.0302,6.6861,4.0445,6.6477,7.9274,6.9929,6.8515,5.0091,6.1343,6.4987,8.5431,3.4953,2.7114,4.145,5.1229,0.5066,1.21,7.7,4.61,9.21,1.28,6.35,12.76,2.4,6.54,1.41,-0.27,6.61,8.33,8.25,2.97,5.68,9.87,16.45,4.89,2.33,6.34,4.69,5.59,2.65,3.95,4.02,2.09,3.58,1.27,11,4.08,2.74,0.92,1.49,0.4,0.01,-4.93,1.25,-1.71,-0.46,-2.54
200910,-10.2792,-7.4671,-6.8519,-7.6897,-9.0441,-7.3445,-5.1876,-7.0288,-9.3955,-10.0424,-5.0087,-3.6388,-5.3937,-5.498,-9.6849,-4.6154,-2.7914,-4.0352,-7.4471,-6.3641,0.2124,-1.0953,-3.0771,-3.4483,-10.0005,-1.87,0.98,-0.31,-8.9,-1.91,0.82,-2.6,-3.68,-3.89,-6.78,-7.56,-12.18,0,-5.09,-2.51,-4.36,1.44,0.07,2.3,-2.74,-3.54,0.7,-3.96,-1.38,-5.15,-2.72,0.87,-2.74,-4.41,-9.34,-2.59,-4.78,-4.18,4.2,-1.68,0,2.66,2.21,-4.7,0.84,5.59
200911,0.165,-1.0475,3.552,1.2632,1.6292,2.3492,1.2254,2.3326,3.048,5.7456,3.1981,3.3105,1.354,6.6218,7.2916,4.4,4.4198,4.396,4.3648,4.3928,7.0459,5.3875,4.4121,4.6098,5.8363,4.13,5.28,2.16,7.58,3.18,7.26,1.96,8.23,9.57,2.64,0.22,7.28,6.28,6.46,10.1,9.27,14.87,10.75,2.95,4.51,6.49,5.43,4.46,7.73,11.16,4.5,4.62,7.73,4.26,8.95,5.56,-2.79,-0.17,0.81,0.15,0,0.29,0.26,1.46,-1.21,-0.29
200912,5.9946,8.271,7.7568,7.9386,10.2611,9.3925,9.1897,9.3224,7.4389,9.2763,6.9436,7.2465,7.026,7.4352,8.4602,6.0971,4.4494,7.7249,5.8054,6.4632,0.9048,2.5155,2.8271,1.7739,-1.9531,3.08,-0.7,3.25,1.02,15.12,-1.86,4.59,2.45,2.43,11.3,5.97,14.99,3.7,4.65,6.04,3.63,-4.4,7.25,-0.79,5.86,6.25,5.48,6.45,4.31,4.41,5.04,1.35,2.61,0.94,-2.04,2.75,6.22,0.01,0.44,-0.08,0.01,2.91,1.61,0.71,0.98,-0.33
201001,-4.0622,-5.123,-4.1145,-3.7984,-1.1344,-3.1427,-3.5197,-0.9059,-2.8373,-3.8903,-3.6435,-3.2886,-3.9344,-3.8989,-3.0181,-3.8331,-3.6378,-5.194,-2.0397,-2.3055,-4.1191,-3.6564,-0.8994,-4.8511,-1.419,-0.92,-3.7,-3.35,1.12,1.23,0.85,-3.11,0,-4.04,-8.66,-1.37,-11.92,-6.64,-4.18,0.51,0.52,-15,-7.41,-4.64,-4.5,-6.84,-7.1,-7.88,-5.49,-4.04,-2.55,-1.92,-0.98,-1.18,2.24,-3.36,0.3,0.31,-1.37,0.43,0,-5.38,3.64,1.63,0.98,-0.48
201002,3.858,4.0006,4.9431,5.279,6.9355,2.0852,3.5298,2.5881,6.1092,5.5151,4.1068,3.9551,4.1336,6.898,8.9695,4.8306,7.0593,5.0391,3.9994,6.5729,2.4881,3.0558,2.5784,4.131,5.9635,2.92,0.25,4.43,6.02,-1.78,3.69,6.07,0.38,5.45,15.68,2.5,4.2,7.96,10.13,6.69,3.92,13.12,10.82,2.13,-0.43,2.92,2.84,6.3,3.05,7.25,5.89,4.32,4.5,2.71,1.86,3.4,1.46,3.17,-0.35,1.41,0,3.6,1.8,2.61,0.76,-0.75
201003,7.2066,6.6017,8.1687,6.915,9.91,6.8577,8.1519,7.93,7.259,11.3525,9.4071,6.8104,9.1881,7.7963,7.686,8.1991,6.3263,7.9538,5.7376,12.1351,5.1371,5.5585,6.1537,6.7749,8.3203,4.44,6.11,6.12,12.06,5.53,2.13,11.39,3.61,7.36,8.42,7.34,12.04,6.49,7.02,8.93,11.1,9.05,2.15,3.21,3.1,7.88,5.22,8.12,5.86,8.11,5.99,6.14,8.27,8.14,9.07,6.31,1.78,2.1,-0.56,1.69,0.01,3.66,0.77,4.28,1.46,-2.97
