,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,ST_Rev,LT_Rev,BAB,QMJ
196307,1.1234,-0.1481,0.5563,0.1097,-1.3212,-1.8721,0.2945,-0.8445,-1.9644,-1.1889,-2.3295,-1.3042,-0.7967,-2.2305,-1.7984,-0.8456,-1.7052,-2.0042,-1.6657,-1.8567,0.1401,0.4524,1.2557,-0.429,-1.1026,0.05,-2.19,-2.54,-3.48,-0.04,-0.15,-0.67,0.56,-1,3.49,-0.78,-1.59,-3.08,-2.43,-0.15,-3.67,-2.9,0.32,2.34,0.8,-0.23,-3.48,-0.55,-1.38,-2.54,0.04,-1.06,-4.21,-0.61,-2.38,-0.39,-0.47,-0.83,0.66,-1.15,0.27,1,-0.03,-1.19,0.81,0.68
196308,4.2429,1.4831,1.3214,2.3701,4.6745,5.3983,4.6462,4.3639,4.4188,8.2329,5.2577,5.0255,5.4633,4.8264,5.1541,5.3965,4.7614,6.2068,7.5619,5.3469,5.771,4.223,4.7487,8.1419,6.3824,4.82,2.14,7.15,6.08,4.66,6.22,4.83,9.56,4.61,4.3,6.04,8.31,4.62,5.17,7.2,3.27,4.02,7.48,3.85,4.2,4.29,2.68,5.23,7.7,7.37,4.22,6.65,1.07,4.28,6.25,5.07,-0.79,1.67,0.39,-0.4,0.25,1.03,1.4,1.62,-1.22,-0.99
196309,-2.8922,0.7027,-1.0869,-1.5812,-0.3581,-3.9164,-1.5713,-0.6417,-1.1812,-2.9149,-4.4644,-1.5314,-0.4876,-0.3268,-1.8203,-2.6893,-2.0139,-1.8941,-3.5823,-1.9943,-1.3721,-0.772,-0.9852,-0.1905,-3.4963,-1.43,1.23,-4.23,-4.05,2.67,-1.37,-4.04,-4.06,-0.78,-1.14,-1.25,0.29,-2.55,-1.68,0.31,-4.6,-0.96,-4.48,-3.62,-2.5,2.36,-2.65,0.29,1.45,-3.85,-1.65,1.16,-2.51,-3.25,-2.93,-1.57,-0.48,0.18,-0.76,0.24,0.27,0.16,1.19,-0.04,1.07,0.62
196310,1.2861,-0.6491,1.2443,0.1,2.3724,1.1882,4.3011,2.3438,2.2012,3.9335,2.359,0.588,2.7346,2.0481,1.068,-0.4287,0.9057,2.3459,5.3382,0.6113,5.3261,1.7383,-0.2829,2.415,0.4857,2.41,-1.28,5.78,10.34,-1.15,4.25,2.51,3.38,3.48,5.72,-0.52,1.58,4.19,-0.49,10.14,2.28,3.16,9.45,-0.52,-0.67,3.4,1.51,8.66,1.65,1.77,1.41,0.45,1.11,0.68,3.14,2.53,-1.29,-0.1,2.75,-2.24,0.29,3.14,-0.66,-0.25,-1.88,2.00
196311,-3.3793,-4.0355,-1.5969,-1.0548,-1.0454,-4.1822,-1.7644,-0.7064,-0.1002,-0.1132,-3.0302,-1.524,-0.941,-0.7518,-1.2116,-0.8648,-0.8828,-0.4882,1.1451,3.5388,-1.2561,0.9849,-1.5542,-2.1322,1.3455,-0.44,-0.72,-5.63,-1.96,-0.18,-0.18,-1.44,-1.65,2.22,1.99,-1.05,-1.83,-0.79,-1.72,-5.42,5.54,1.56,0.67,-1.19,-1.02,4.16,-3.78,-0.27,-0.93,3.78,-4.03,-1.08,-3.61,-2.29,1.67,-0.85,-0.84,1.71,-0.45,2.22,0.27,-0.75,1.16,-0.07,-0.52,-0.86
196312,-2.3593,-1.1798,-0.9018,-1.6367,-1.052,-0.6814,-0.9143,1.1527,0.8901,0.1212,0.3589,1.4736,1.2737,1.7197,0.4665,-0.1318,1.1983,1.7274,3.1393,6.1498,2.6237,2.2981,2.2921,2.5149,2.1308,2.99,1.21,5.98,-2.13,-0.21,4.26,-0.69,1.54,4.51,3.3,0.81,1.51,1.86,-2.55,-1.2,-4.22,6.05,5.42,4.65,2.42,-0.14,0.93,3.26,0.31,4.17,-0.66,0.35,1.75,1.61,-2.82,1.83,-1.89,-0.12,0.08,-0.3,0.29,1.7,0.25,0.01,0.01,0.32
196401,3.9767,3.0833,4.1068,4.1398,4.9545,-1.8043,-0.6418,3.6688,1.4763,4.2346,0.1105,1.0158,2.495,3.9771,3.2152,-0.2988,1.7765,1.1774,3.6204,3.3373,3.0934,3.1881,1.7441,2.0144,1.6235,1.14,0.99,-1.69,-0.95,4.39,1.74,-0.83,3.68,3.26,2.26,2.02,4.43,3.72,-3.13,1.08,3.4,-0.03,4.44,4.85,1.4,3.35,2.05,3.05,1.84,3.86,-2.24,2.81,-0.47,-1.14,-2.33,2.24,0.08,1.59,0.22,1.5,0.3,1.06,-0.38,0.03,0.61,0.48
196402,2.9555,2.873,2.2555,0.2821,4.5557,1.616,1.7313,2.5109,2.1229,6.1003,0.1019,2.8322,1.774,3.7564,4.0122,2.522,1.4409,3.0066,7.4544,4.6097,1.8224,0.5124,1.0418,3.983,3.751,1.43,-0.17,2.64,2.25,6.79,0.94,1.84,1.66,2.24,3.73,4.81,2.89,3.51,5.01,3.68,5.09,5.7,0.12,1.07,0.87,-0.28,2.73,1.97,-0.32,7,1.94,1.56,7.08,3.76,1.06,1.54,0.32,2.83,0.06,0.85,0.26,0.24,0.21,1.37,-0.50,-0.44
196403,0.4966,1.3121,2.3753,3.5429,2.6887,2.322,3.244,3.472,5.6796,6.1528,-0.5576,2.5722,4.4163,5.7097,6.7543,1.9864,2.9255,5.2494,6.9476,0.7218,1.1585,0.7364,3.6898,3.8351,0.1494,1.96,6.93,10.37,2.72,-0.95,2.32,1.09,-1.94,2.64,0.45,4.84,6.97,6.57,3.6,0.62,1.74,5.28,-1.81,1.45,-0.75,-0.94,2.54,3.45,1.23,2.85,4.6,2.28,4.04,0.7,-0.29,1.41,1.41,3.32,-2.01,2.93,0.31,0.72,0.34,3.9,-0.19,-1.46
196404,-1.5521,2.6366,-0.4091,-0.878,-0.9517,-0.7625,-4.0694,0.6079,-1.6136,-0.6557,-2.0882,-1.0485,0.2559,-0.749,-1.0221,-2.6728,0.6352,1.6896,-2.0612,-2.2799,0.2273,1.4744,0.8217,-0.9047,2.4177,-1.07,-1.61,1.83,-4.16,2.12,-1.56,-0.62,-1.42,-1.18,-0.47,-0.5,-3.57,-0.14,-4.8,2.95,-4.44,13.4,-4.24,4.22,1.06,0.81,-0.12,-3.69,-1.16,-1.28,-0.02,3.05,1.86,-0.97,-3.7,0.1,-1.52,-0.55,-1.35,-1.08,0.29,-0.6,3.35,-2.44,2.53,1.44
196405,-1.252,-1.3431,0.4715,0.3367,1.5856,3.1248,0.3595,2.9579,1.8542,3.7386,-0.6274,1.5308,-0.2996,2.1331,2.4988,1.1101,2.416,1.3073,2.6065,4.101,2.0659,0.3111,1.2718,4.2802,3.3864,1.68,1.47,-0.19,-3.86,1.47,2.21,1.95,0.53,2.34,5.7,0.26,1.21,2.64,-1.11,1.79,4.46,1.01,0.64,2.18,0.84,-0.4,-3.31,2.84,-0.94,5.94,0.04,4.17,-0.24,0,0.02,1.42,-0.68,1.98,-0.26,0.24,0.26,2.54,-1.3,-0.15,0.52,-0.01
196406,1.9421,0.5264,1.2774,0.7808,1.0969,0.8807,1.6791,1.5988,1.1354,2.2101,1.0255,2.4139,2.068,2.4619,1.2404,0.9431,1.2939,1.1684,2.8764,3.1078,0.9729,2.8991,0.2828,1.3636,2.4156,2.33,0.49,-1.54,-1.07,3.82,0.18,4.12,0.59,-0.57,-0.39,0.29,0.9,4.01,-0.16,1.52,3.11,-1.06,-2.34,0.71,2.2,4.76,5.95,0.44,0.97,3.84,3.45,3.91,2.49,-1.18,-1.4,1.27,0.09,0.68,-0.42,0.14,0.3,0.45,0.52,-0.48,0.79,-0.31
196407,0.8464,3.883,4.2554,2.6285,4.8118,1.0572,1.6074,4.0006,3.1051,2.4158,2.8108,2.7962,3.0269,3.2799,1.2401,1.1094,3.3974,1.5688,1.7746,3.1177,2.5914,0.6598,3.9497,1.9029,0.8222,1.23,7.9,0.41,0.28,-0.25,0.72,4.68,4.76,2.16,5.81,1.39,0.62,1.84,7.68,5.43,5.93,2.59,1.41,3.37,4.91,-1.99,3.16,-1.91,0.82,0.23,2.67,1.12,0.94,1.89,2.94,1.74,0.53,0.68,0.14,1.84,0.3,-0.37,1.82,0.04,2.16,0.69
196408,1.2711,-1.907,-1.749,-0.896,-0.4938,-1.7902,-2.7708,-1.0857,0.3228,-1.8459,-2.7834,-0.5807,0.567,-0.1977,-2.0228,-1.0435,0.1881,1.0186,-0.0191,-0.2374,-1.2629,-1.5768,-0.0707,-1.0389,-2.7371,-1.3,-1.87,6.6,-3.34,-1.39,-1.47,-0.89,-4.22,-2.26,-1.78,-1.64,-0.07,-0.85,2.75,1.78,3.15,0.26,-0.5,-1.88,-0.01,-1.53,3.52,-2.89,-1.88,-5.78,-4.66,0.6,-3.57,-2.14,0.77,-1.44,0.3,0.09,0.06,0.36,0.28,-0.19,-1.07,-0.66,0.94,-0.06
196409,4.6885,4.0315,6.0219,2.7272,3.9919,3.5364,2.8847,2.2849,1.9974,4.753,1.7612,2.0247,3.2296,3.2253,3.7708,2.9487,3.3454,4.2984,4.849,4.7579,3.0996,1.1876,4.439,4.4254,6.9184,1.97,1.65,-1.97,5.59,2.25,5.72,3.96,2.73,5.35,4.33,0.05,5.5,3.37,4.07,5.19,5.62,10.69,5.32,3.05,1.87,-1.02,0.84,1.18,4.05,4.78,2.65,3.48,3.81,2.5,4.22,2.69,-0.31,1.65,-0.48,0.58,0.28,-0.39,1.23,3.7,-1.84,-0.27
196410,1.7043,0.374,2.1704,2.2325,3.3723,-1.4831,1.8614,2.0591,1.3112,1.3547,3.2059,3.3977,1.7484,1.3673,2.7154,1.1622,1.2132,1.2688,3.1881,3.4816,0.3437,1.0165,0.3508,0.4145,3.6739,-1.17,2.4,-2.06,0.88,2.49,-1.15,0.45,2.88,0.93,7.31,2.17,-2.62,2.03,6.04,0.19,0.63,0.14,0.04,3.11,0.95,-0.89,1.62,-1.03,2.17,4.24,1.27,2.31,5.78,-0.64,-0.25,0.59,0.88,1.14,-0.29,0.48,0.29,0.08,1.24,-0.74,0.62,-0.54
196411,-0.1603,-0.4088,0.6954,0.7246,0.6234,-0.699,-0.0232,-0.0826,-0.5965,-1.8008,1.6113,0.6715,-0.0197,0.4266,0.164,0.5949,1.5067,-0.6105,-0.8331,-4.0612,1.0391,-0.2816,1.4876,-1.2429,-4.8657,1.22,-1.41,-1.63,-1.94,1.78,0.95,2.78,2.17,2.35,0.38,-0.71,-4.82,1.52,0.71,-2.7,0.54,0.29,0.97,2.59,1.37,-2.23,-2.18,-0.19,-2.66,-3.54,2.06,3.36,1.11,-0.89,0.96,0,-0.27,-1.98,0.6,-0.16,0.29,1.08,-0.75,-1.31,1.99,0.57
196412,-1.5129,-1.3967,-2.546,-2.5918,-1.8116,1.4318,0.4568,0.5316,-2.2114,-1.0025,0.115,0.7396,-0.3939,-1.8123,-0.9072,1.0635,0.0535,-1.6199,-0.9551,-1.4361,0.8399,1.3076,-0.9272,-1.2009,-1.2581,1.18,-0.18,-4.68,-1.38,0.92,0.68,-0.57,4.38,0.46,0.63,-1.04,-1.71,-2.99,-2.72,1.94,0.06,-1.15,1.76,-0.27,0.5,3.1,-0.42,-0.01,-2.37,-2.47,0.93,0.12,-0.34,-1.2,-3.91,0.03,-0.58,-2.55,1.13,-1.63,0.31,-0.69,0.78,-1.63,-0.03,0.68
196501,8.5641,5.8323,6.5993,7.245,8.8036,7.648,5.5808,5.7697,5.9866,6.1864,5.2046,6.3029,5.1145,6.0584,6.966,6.6065,4.1326,5.2312,5.1165,7.4877,4.71,1.2279,3.1004,3.622,3.5078,5.04,12.15,5.37,8.44,8.68,6.52,7.83,7.66,5.68,8.44,5.45,4.91,4.42,9.84,2.92,2.77,8.25,3.73,0.45,3.96,0.27,7.99,7.43,6.61,4.74,5.84,2.73,9.47,2.72,5.19,3.54,2.49,0.18,0.84,0.11,0.28,-1.28,2.97,2.17,0.06,-0.74
196502,1.5794,1.0678,2.7161,3.0096,3.4986,3.4382,4.4841,3.252,3.4893,3.8161,3.8964,4.7537,4.7885,2.894,3.4394,1.5041,3.5059,3.9892,3.1987,1.7863,0.1697,-0.1595,0.0796,-0.4272,-1.0988,1.32,1.9,-0.04,5.07,1.35,2.78,6.4,2.42,0.91,2.28,3.26,2.98,6.1,5.18,-1.26,3.53,4.77,-0.51,-3.43,0.43,0.79,3.18,2.16,-0.57,2.61,2.82,1.34,3.02,1.25,5.87,0.44,3.31,0.22,0.4,-0.69,0.3,0.3,-0.57,2.83,-0.09,-1.18
196503,1.4044,2.717,1.4618,2.489,3.1547,2.0241,-1.4149,1.2362,1.3014,0.6605,-0.29,-0.24,-0.2978,1.4463,0.6379,-0.6703,-0.3546,-0.4817,0.4395,2.0934,-1.3119,-1.6834,-1.6367,-0.6142,0.2936,-1.46,0.59,-0.87,3.75,2.87,-1.9,0.96,-0.92,-3.01,0.84,0.26,0.03,-2.32,-0.75,1.91,0.87,-0.65,-0.1,-3.1,-0.52,-1.68,3.25,-0.47,1.05,-0.5,0.81,-0.98,0.3,-0.33,4.72,-1.34,2.03,1.09,-0.3,0.73,0.36,0.1,1.43,0.65,-0.47,-0.40
196504,3.3757,4.8607,5.2017,4.0676,4.6019,0.0003,4.8277,4.2246,4.7033,5.142,2.8021,3.0068,4.3179,3.5262,6.7989,2.5424,2.9329,4.6715,4.3912,2.6447,4.5926,1.8495,2.1106,2.1037,4.333,2.87,5.52,5.61,3.87,5.54,5.78,4.85,2.98,1.94,8.98,2.74,5.21,4.82,5.15,7.34,7.74,4.07,-2.07,0.9,0.65,2.3,4.28,5.22,3.12,0.86,5.74,7.04,3.14,2.56,2.51,3.11,1.18,0.71,0.26,-2.3,0.31,2.54,0.42,0.19,-0.44,-0.62
196505,-0.597,-2.3215,-1.1429,-0.4232,-1.2693,1.2679,-0.8293,-1.1878,-0.3296,-2.1589,-0.4077,0.5983,-1.482,-0.8103,-0.58,-1.055,-0.0272,-0.9491,-0.3614,-3.3105,-0.726,0.9427,-0.2344,-0.5163,-3.5541,-0.93,-0.31,-1.65,2.01,0.55,-0.51,1.06,-1.24,0.53,-1.22,-0.76,-0.74,-2.66,0.79,-4.25,0.21,-2.12,-2.48,0.94,-0.97,2.79,-2.92,0.58,-1.67,-0.8,-0.84,0.33,-3.06,-2.35,-1.52,-0.77,0.06,-1.63,-0.37,0.7,0.31,0.54,0.18,0.03,-0.01,-0.03
196506,-12.4001,-10.7627,-9.4745,-8.0205,-9.5674,-10.3844,-8.3678,-8.9351,-8.3303,-8.2892,-6.9572,-9.3673,-8.4419,-8.7327,-8.3849,-6.1574,-6.9212,-8.1461,-8.6617,-8.9668,-4.4268,-3.5824,-4.9769,-3.633,-5.4288,-4.33,-4.56,-3.41,-9.69,-6.39,-5.36,-9.1,-5.31,-5.75,-7.94,-7.07,-6.86,-6.25,-7.96,-7.18,-7.15,-9.98,-5.99,-1.89,-3.66,-4.14,-9.15,-5.63,-5.88,-6.86,-9.34,-6.1,-6.72,-4.91,-11.7,-5.51,-4.3,0.55,0.12,0.41,0.35,-3.12,0.38,-1.88,0.08,1.22
196507,2.4449,3.7103,3.2169,2.29,4.3431,3.7099,1.3543,2.8801,3.7322,4.29,1.3893,4.5165,2.5087,4.5198,4.6479,2.6464,3.1032,4.1814,2.6199,5.7876,1.5245,-0.0437,1.8876,3.8748,5.0599,1.22,-0.36,1.74,5.7,3.56,4.46,2.59,3.95,0.06,2.97,0.57,3.11,1.57,4.68,1.64,9.64,7.75,1.92,1.81,1.06,-0.38,4.19,3.47,-0.6,4.64,5.56,-1.86,1.33,1.13,7.43,1.43,1.07,2.18,-1.41,-0.02,0.31,4.1,2.54,1.55,-0.96,-0.70
196508,2.9082,5.4828,5.3181,3.8041,3.9318,7.3129,3.9586,5.1523,4.4534,4.0995,8.1482,5.0451,7.6512,3.7178,5.9122,4.0819,4.0195,5.3362,3.0665,4.341,3.2621,1.3557,3.4901,1.1232,2.3953,1.77,3.77,9.45,6.74,7.2,6.53,6.99,6.29,1.53,6.06,2.6,2.74,4.27,6.55,2.53,2.98,3.37,3.27,1.52,0.92,1.33,3.63,6.05,3.37,6.48,5.08,2.09,5.2,4.54,5.09,2.73,2.72,-0.96,2.06,-0.76,0.33,2.58,-1.35,1.71,-1.94,-0.68
196509,3.08,6.1964,1.4997,3.9392,3.1465,5.3879,3.7244,2.9823,4.8743,2.9238,2.5589,4.2967,2.4364,5.0407,4.6487,3.8354,3.7313,1.2301,2.9785,3.8306,3.9272,2.3223,2.476,3.5201,3.2515,0.21,-0.32,-2.65,11.6,2.42,5.89,2.17,2.24,3.94,4.96,2.4,2.08,6.27,5.21,4.86,10.63,0.58,0.32,4.45,1.39,1.09,4.16,5.47,3.75,3.14,7.48,-1.18,4.37,-0.1,4.09,2.86,0.62,-0.1,-0.82,0.82,0.31,3.36,-1.36,2.11,-1.26,-0.16
196510,5.9712,9.2586,6.0287,5.6348,9.055,4.5444,6.1471,4.2759,5.3932,5.3798,4.5113,4.8264,5.6789,5.541,5.1048,4.3061,3.1809,2.9277,4.4173,7.8738,3.1384,0.2669,3.0514,4.4222,5.4816,0.99,2.54,4.42,11.63,6.01,4.34,4.85,3.23,2.87,5.29,4.45,5.27,5.41,5.78,6.6,7.74,4.44,15.55,1.58,1.05,-2.29,4.49,5.26,3.28,6.68,3.48,0.01,5.17,1.15,2.64,2.6,3.43,1.52,1.22,-0.76,0.31,3.45,-1.25,0.94,-1.74,0.05
196511,3.5853,6.738,2.4335,8.0918,6.6297,1.4377,5.5811,4.2575,5.4318,4.048,3.5356,3.3836,5.2857,2.8337,2.6488,3.5229,2.8138,3.3691,1.148,6.0764,-0.3037,-1.8517,1.255,-1.2821,-2.275,0.27,0.94,-4.65,11.49,7.46,0.93,2.29,3.8,-1.91,7.64,0.85,-4.37,5.3,8.25,-5,15.23,2.35,-0.81,0.74,-1,-4.32,2.3,2.44,1.99,6.53,5.68,1.13,2.16,1.04,9.45,-0.03,5.19,0.21,-1.06,-0.9,0.35,4.42,-2.29,1.02,-2.06,-1.18
196512,6.4061,7.3525,2.344,3.8728,4.9632,3.6686,5.0612,3.9601,2.3878,7.3704,2.7818,1.328,4.0189,1.5988,5.6335,1.3034,1.3391,1.6231,4.3141,4.7832,1.0103,-0.2053,1.2605,2.7992,2.9558,1.02,2.64,-1.02,3.93,3.62,4.42,1.74,3.83,2.38,1.68,1.92,8.1,1.72,-0.48,0.88,-1.91,8.74,0.7,0.15,-0.31,-0.86,8.22,-1.6,2.25,2.4,3.79,1.19,4,1.96,-0.88,1.01,2.65,1.95,-1.28,-0.45,0.33,0.09,2.84,-0.22,-0.11,-1.14
196601,5.8757,6.1252,8.4953,9.5804,9.2611,4.8531,5.5152,5.2212,5.3198,6.4047,4.1093,2.8438,2.9188,4.5832,6.0148,0.6698,2.0493,4.9538,4.2498,5.7043,-0.3719,-0.6373,1.7297,3.0563,3.4997,0.15,1.25,2.9,10.89,1.76,2.06,4.36,2.74,-0.78,8.38,3.67,4.35,2.61,4.07,0.26,9.27,12.12,1.11,1.03,-3.02,-1.3,2.46,1.08,4.53,7.16,6.97,-5.21,3.07,0.56,3.75,0.72,4.72,3.49,-2.83,-0.07,0.38,5.41,0.53,1.51,1.35,0.09
196602,6.4919,6.1003,1.7637,4.6412,6.1313,4.8901,5.386,1.9583,-0.2085,3.5297,-0.1237,1.8587,4.3132,2.4861,2.9023,2.2571,-1.573,0.6434,0.6801,3.5463,-1.3268,-2.2691,-1.6922,-1.9663,-2.0557,-0.88,-2.85,-2.32,7.43,0.44,-0.68,3.02,-1.55,-1.92,0.44,-0.83,-1.9,-1.01,1.23,-1.62,-0.64,9.43,-0.02,-3.56,-4.17,0.48,2.49,5.36,-0.06,3.44,2.4,-2.2,-1.42,-2.09,0.68,-1.21,4.86,0.27,-0.15,-1.44,0.35,4.58,-2.7,1.34,-1.70,-1.81
196603,0.4302,-0.4055,-2.2779,-0.8356,-1.1006,0.1883,-1.7233,-2.4526,-3.6285,-1.557,-1.7207,-4.7081,-2.3592,-3.3801,-3.7122,0.0488,-1.3941,-3.2976,-2.5368,-4.2177,-1.474,-3.4162,-1.0924,-2.1509,-4.5021,-2.36,-4.14,-3.38,2.81,2.86,2.58,-3.71,-1.6,-4.55,-4.47,-3,-2.3,-1.75,0.89,-5.22,-1.37,-4.28,0.17,-2.28,-0.14,-4.84,-3.15,-0.94,-3.54,-1.84,-3.03,-2.3,3.13,-4.07,-2.6,-2.51,0.22,-2.07,1.3,-0.01,0.38,1.34,-0.25,0.67,0.37,-0.25
196604,10.5139,4.6831,5.8429,6.9314,3.8781,2.7326,5.1946,3.6853,7.7015,8.7953,3.8115,4.0488,3.127,4.3838,2.4018,4.0802,2.4861,3.4612,4.8273,0.3389,2.1117,1.8738,1.2218,2.4061,1.9991,-0.9,3.2,-1.08,5.77,3.83,5.49,2.86,-0.02,0.31,0.8,1.67,1.73,1.43,3.77,-1.37,3.76,3.1,0.92,3.18,1.19,1.26,3.37,7.69,3.61,4.51,12.15,2.46,6.95,1.3,10.16,2.14,3.38,-0.54,0.41,-0.91,0.34,6.18,-0.98,1.52,-1.10,-0.62
196605,-12.3013,-13.3738,-10.3573,-10.7611,-11.7866,-9.7592,-10.0972,-8.7631,-10.0317,-9.1777,-6.2935,-7.0317,-7.6381,-10.5574,-9.4822,-5.0816,-5.1564,-6.7096,-8.8227,-10.7558,-4.1889,-3.8667,-4.7328,-5.5063,-5.4507,-3.67,-6.27,-3.88,-13.71,-5.42,-5.86,-7.81,-5.26,-4.56,-8.65,-5.82,-7.91,-5.57,-8.61,-6.68,-8.53,-8.17,-2.54,-3.75,-2.73,-2.98,-10.98,-6.03,-4.59,-9.69,-9.94,-2.41,-4.37,-3.9,-9.89,-5.66,-5.19,-1.55,1.66,-1.52,0.41,-4.69,3.4,-0.84,0.01,2.80
196606,-0.6824,-0.2759,1.071,1.5448,0.3766,1.3324,0.4358,-0.0637,-0.6477,0.2485,0.3944,-0.5198,2.6905,-0.3626,-0.683,-0.8593,-0.3602,0.0017,3.4268,-0.0842,-1.9986,-1.4809,-0.689,0.8559,-0.6948,-3.04,3.29,-2,-5.15,2.42,0.91,-2.31,0.99,-3.88,-1.98,-2.02,-0.89,-1.46,-2.81,-1.53,1.05,-0.07,-8.51,-2.15,-1.78,0.49,-0.51,-0.13,-0.59,3.44,1.13,-2.65,0.71,-2.09,-0.8,-1.44,1.34,0.5,0.06,0.8,0.38,3.28,2.56,1.43,-1.37,-1.19
196607,-2.1739,-1.751,-2.3778,0.0135,-1.0599,-3.1657,-2.3341,-0.729,-1.6938,-1.6869,-1.0345,-2.0679,-0.6466,-0.7935,-1.4238,-0.8236,-1.3688,-2.0464,-2.697,-2.3773,-1.6864,-1.4936,-0.6138,0.9135,-1.326,-0.4,-3.96,-0.45,-3.28,-0.8,-2.39,-2.04,-1.72,-1.16,-5.16,-1.44,-4.08,-3.13,-5.36,0.44,-7.18,-0.4,3.34,0.35,-0.18,-1.17,-3.74,-1.71,2.27,-2.43,-3.28,-1.83,-2.88,-2.05,-4.71,-1.63,-0.5,0.96,-0.45,1.78,0.35,-1.39,1.24,-0.41,-0.02,0.75
196608,-11.9646,-10.5214,-9.9631,-11.0473,-10.4161,-12.7672,-10.143,-9.3653,-9.6835,-10.9118,-10.6818,-8.6482,-7.9789,-9.942,-8.6292,-9.3873,-7.6617,-7.9129,-6.9637,-9.4044,-7.1873,-8.7472,-5.7046,-6.1912,-7.9624,-6.07,-6.86,-5.46,-3.08,-9.18,-8.29,-9.59,-8.07,-9.04,-9.78,-10.23,-7.49,-7.8,-9,-7.67,-7.89,-13.09,4.76,-6.56,-8.59,-4.6,-9.39,-5.88,-5.63,-13.26,-11.06,-5.97,-10.16,-8.78,-9.01,-7.91,-3.03,0.47,0.05,0.77,0.41,-2.11,0.32,2.21,-3.00,1.70
196609,-2.0164,-1.8402,-1.8161,-1.9233,-1.2181,-1.8183,0.9079,-2.2521,-1.819,-2.0855,-2.1949,-4.3174,0.4292,-0.1997,-1.2755,-1.0739,0.1546,-1.2518,-3.2299,-0.3762,-1.3094,1.0071,0.4795,0.2753,-1.6179,-1.04,-3.47,0.38,-12.1,0.75,-2.75,-1.74,-1.13,-7.21,-6.91,-2.3,-2.29,-5.53,0.3,0.79,-3.72,-2.9,3.9,3.96,4.36,-0.57,-3.3,-1.88,-0.78,-2.13,-2.22,-1.67,-9.12,-0.07,-3.88,-1.06,-1.19,0.53,-1.65,2.5,0.4,-1.73,1.07,-1.65,1.26,0.51
196610,-8.0065,-4.7175,-4.4987,-1.1373,-1.416,-5.364,-0.824,-0.8158,0.3173,-0.21,-1.8702,1.4897,3.2466,4.9836,1.6575,0.3109,4.953,3.8079,3.7496,1.9296,2.9392,5.625,9.2021,6.2743,6.5077,8.23,4.39,6.85,-6.35,-0.49,3.85,-2.68,4.87,1.91,-6.16,1.16,6.77,2.51,2.51,0,-1.72,-1.61,-1.62,8.59,9.94,9.19,-2.75,0.45,1.4,-0.37,1.06,-1.52,-3.92,10.32,-4.64,3.86,-6.53,2.87,-3.64,4.28,0.45,-5.13,-1.47,0.07,2.14,-0.36
196611,8.4391,3.5803,4.7042,2.4402,3.589,7.7597,3.0753,7.4347,1.9298,2.6885,9.3354,6.4773,1.1391,4.5771,0.637,8.618,1.2966,1.4545,2.0443,0.7892,3.6719,1.9047,-2.5331,-1.4293,-1.0731,2.39,6.7,-3.94,3.94,9.37,7.35,4.17,6.89,-1.68,-2.49,4.62,-0.26,1.05,7.61,-6.87,14.94,10.06,6.15,-1.23,-1.36,-2.84,6.71,10.99,0.64,10.82,8.84,0.3,2.31,3.03,7.27,1.4,3.37,-4.46,4.17,-6.53,0.4,5.73,9.07,-0.15,-5.29,0.36
196612,4.1887,2.6142,2.5021,0.8137,0.2328,4.7503,3.4576,0.9245,2.243,0.6964,3.1883,3.7043,0.4487,3.1068,-0.4132,2.9634,2.3162,1.6444,3.6156,1.953,-0.871,0.0758,1.4591,-0.1425,-0.1227,-0.53,3.3,-1.55,-4.65,3.03,-1.23,-0.8,-0.17,2.16,2.48,2.21,3.26,1.39,-2.86,-0.61,1.97,2.11,7.19,-0.75,2.1,2.98,3.73,0.37,-0.62,0.55,1.39,-4.72,5.96,3.45,9.36,0.13,1.93,-1.22,0.68,-0.13,0.4,1.07,0.28,0.33,-0.74,-1.27
196701,20.5686,20.1184,19.5247,20.6142,17.4187,16.9665,16.444,17.6109,17.3934,20.4686,16.9832,14.4911,12.1993,13.1637,14.3448,9.778,6.68,10.7449,11.2193,13.5276,7.7322,7.0965,4.8745,7.8591,13.7899,6.37,9.98,16.41,18.54,11.62,6.16,11.24,6.41,11.81,13.04,14.99,15.43,13.15,16.17,13.94,11.08,12.86,7.02,3.53,2.84,6.23,19.59,9.85,8.9,12.44,16.76,11.52,15.2,9.02,8.24,8.15,9,2.22,0.62,-2.98,0.43,-6.75,3.55,0.54,1.40,-3.39
