date,BAB,CMA,CMAs,CPTLT,FIN,HML,HML_DEV,HMLs,LIQ,LTREV,MGMT,MKTS,MKTSs,MOMS,PEAD,PERF,QMJ,RMW,RMWs,R_IA,R_ROE,SMB,SMBs,STREV
1987-05-31,-0.003506787,0.0113999999999999,-0.0019,-0.0073,0.000725927128532,0.0023,0.014837182,0.0059,0.01258425,0.0199,0.0070862169501847,0.0011,0.0078,-0.0074,0.0033847083643071,-0.0006664907705889,0.005016101,0.0051,0.0006,-0.001208,-0.023436,-0.0056,-0.0245,-0.003
1987-06-30,0.022529162,0.0084,0.0112,0.0439,0.0317155787585027,0.0104,0.011253223,0.004,0.02582911,-0.013,0.0139523456584834,0.0394,0.0606,-0.0025,-0.0080628692161916,0.0035954442100053,0.013588879,0.017,0.0003,0.013763,0.014245,-0.0220999999999999,-0.0143,0.0001
1987-07-31,0.042507915,0.0161,-0.0077,0.0182,0.0169541292378154,0.0068,-0.00558887,0.0077,0.00803324,0.0224,0.0208110172837101,0.0385,0.0354,0.0272,-0.0027506969271868,0.0237348319679811,-0.007941111,-0.0060999999999999,0.0169,0.001168,-0.017888,-0.0113999999999999,-0.0039,-0.0022
1987-08-31,-0.005413398,-0.0161,-0.0074,0.0253,-0.0224512257208539,-0.0093,-0.005481284,-0.0062,-0.05904169,-0.0283999999999999,-0.014422562075187,0.0352,0.0427,-0.0086,-0.0035628991228675,0.0046476079740522,0.028877525,0.0204,0.0135,-0.0024779999999999,0.038033,-0.0093999999999999,-0.0033,0.0245
1987-09-30,0.000571945,0.0187,0.0162,-0.0395999999999999,0.0060317313615042,0.0027,-0.001449372,0.0108,0.00162348,0.0298,0.0193243679287978,-0.0259,-0.0073,0.0077,0.0248504429365128,0.0081185182400116,-0.005843301,-0.0097,-0.0047,0.019312,0.005893,0.0038,0.0016,-0.004
1987-10-31,-0.126904928,0.0233999999999999,0.0261,-0.2871,0.0471975896651066,0.0424,0.08482116,0.0147,0.05431057,-0.0579999999999999,0.0477502280025428,-0.2324,-0.1378,-0.0786,-0.0062045287612543,-0.0194933580110158,0.049813493,0.0204,-0.0117,0.033505,0.003321,-0.0807,-0.0403,-0.0013
1987-11-30,0.043576178,0.0068,-0.0068,-0.1026,0.0192240230481788,0.0295,0.020712827,0.0164,-0.01692999,-0.002,0.0081703271154776,-0.0776999999999999,-0.0261,-0.0116999999999999,-0.0081109679495817,-0.0154540678989748,-0.00191819,-0.0187999999999999,-0.0092,0.005934,-0.006684,0.0285,0.0366,-0.0087
1987-12-31,-0.092586887,-0.0242,-0.0444,0.0347,-0.0292347093257254,-0.0443,-0.042756745,-0.0356,0.00835925,0.0274,-0.0313925182469899,0.0681,0.0124,0.0587,-0.0179856560846166,0.0789293177946456,0.019740291,0.0296,0.0465,-0.024286,0.038977,0.0006,-0.0086,0.0579999999999999
1988-01-31,0.037285709,0.0213,0.0545,0.0992,0.0356968326752878,0.0501,0.084218372,0.0485,0.04415469,-0.0161,0.0358019109540752,0.0421,0.0295,-0.0724,0.033393553430821,-0.0727598275240426,-0.023127582,-0.0113999999999999,-0.0376,0.013309,-0.040763,-0.0051,-0.0034,0.0791
1988-02-29,-0.011782996,-0.0001,-0.0019,0.024,0.0110143527951906,-0.0171,-0.010896032,-0.0016,0.0033043,0.0134,-0.011716534172045,0.0475,0.0057,-0.0147,-0.0100731680103883,0.024884823642205,0.001489479,0.0156,0.0237,-0.00597,0.010296,0.0332,0.0295,0.0436
1988-03-31,0.055207872,0.018,0.0238,-0.0457,0.0332716915131376,0.0073,-0.000251392,0.017,-0.01998427,0.0124,0.0008656115330454,-0.0227,-0.0061,0.0058,0.0315419698438577,0.0012384725291231,-0.009014645,-0.0025,-0.0007,0.016541,-0.021572,0.0625,0.0127,-0.0084
1988-04-30,0.018548408,0.0192,0.0068,-0.0010999999999999,0.0116103999159953,0.0167,0.004968182,0.0074,-0.02541647,0.0046999999999999,0.0093052127834086,0.0056,-0.0065,0.0224,0.0069619269227057,0.002545991599195,-0.002658467,-0.002,0.0061,0.021932,0.006511,0.0116,0.0204,0.0023
1988-05-31,0.009896042,0.0033,0.016,0.0613,0.0176712353001209,0.0242,0.022602824,0.0278,-0.00520483,-0.0005,0.0185541790743802,-0.0029,0.0101,0.0063,0.0027029605186771,-0.0135173180158007,0.009056733,-0.0074,-0.0127,0.0059419999999999,-0.001354,-0.0256,-0.0189,0.0065
1988-06-30,-0.005386846,-0.0337,-0.0238,0.0768,-0.0311548634696215,-0.0124,-0.003228829,-0.0095,-0.00962875,0.0186,-0.025042559314548,0.0479,0.0238,-0.0293,0.0074724630232404,-0.0041386255789953,-0.00038391,0.0147,0.0224,-0.032605,0.022112,0.0216,0.0254,0.0187
1988-07-31,0.015841753,0.0152,0.0045,0.0051,0.0214911033620674,0.0222,0.020817301,0.0111,-0.00893175,-0.0135,0.0201731398398454,-0.0125,0.0031,0.0066,0.0105971267201861,-0.0189781611348144,-0.004527339,-0.0058,-0.0041,0.011054,-0.0113169999999999,-0.0021,-0.0,0.0336
1988-08-31,0.014608717,0.0176,0.0159,-0.0178,0.024598645987134,0.0215,0.016331178,0.0208,0.03565788,-0.0196,0.0273452266738851,-0.0331,-0.0171,0.0034999999999999,0.0207377501527878,-0.0195906220770577,-0.001052177,-0.0081999999999999,-0.0138,0.0167189999999999,-0.0215519999999999,-0.0003,-0.0128,-0.0192999999999999
1988-09-30,-0.021348172,-0.0060999999999999,-0.0071,0.0374,0.0170447385811151,-0.0075,-0.008120437,-0.0122,0.01488299,-0.02,-0.0017533621675255,0.033,0.029,0.0027,-0.0005766659574427,0.0080437735555487,0.007139165,0.0176,0.0213,-0.0042,0.021771,-0.0136,0.0003,-0.0012
1988-10-31,0.002099969,0.0103,-0.0027,-0.0043999999999999,0.0469412998653124,0.0204999999999999,0.015735624,0.0049,0.02375891,-0.0025,0.0204972548957573,0.0115,0.0395,0.0133,0.0100173429949954,0.0085346819488672,0.008814441,0.013,0.017,0.005013,0.00056,-0.0295,-0.0206,-0.01
1988-11-30,-0.019299355,0.0162,0.0106,-0.0109,0.0240637150453772,0.0141,0.009445612,0.01,-0.00070705,-0.008,0.0051526305469249,-0.0229,-0.0019,0.0033,0.0107140175234355,-0.0012498167274724,0.006664485,-0.0028,-0.0033,0.013928,-0.004884,-0.0165,-0.0059,-0.0067
1988-12-31,-0.025303154,-0.0038,0.0055,-0.0228,-0.0111895871587944,-0.0169,-0.013083657,-0.001,-0.04442614,0.0079,-0.0098091426378427,0.0149,-0.0162,0.0049,-0.0122890218273212,0.0293568871337363,0.008578438,0.0069,-0.0012,0.004539,0.007818,0.0200999999999999,0.026,0.0229
1989-01-31,0.008555115,0.0014,0.0079,0.1056,-0.0190261200249647,0.006,0.007375357,0.0129,-0.00066201,0.0283,-0.001938820811676,0.061,0.0146,-0.0016,0.0016001305946946,-0.0037888351248506,-0.01284497,-0.0095,-0.0084,0.000107,-0.003507,-0.0231,-0.0187,0.0097
