date,MKTB,DRF,MKTBD,CRF,VAL,CRY,MOMB,LTREVB,DUR,HMLB,STREVB,SZE,DEF,TERM,PEADB,MOMBS,BAB,CMA,CMAs,CPTLT,FIN,HML,HML_DEV,HMLs,LIQ,LTREV,MGMT,MKTS,MKTSs,MOMS,PEAD,PERF,QMJ,RMW,RMWs,R_IA,R_ROE,SMB,SMBs,STREV
31/01/1987,0.022649794,0.017361043,0.013543163,0.017859027,-0.00940129,0.006462443,0.005794255,-0.003256327,0.008520818,0.015060004,0.002234316,-0.002121171,0.0055,0.0112,-0.002302474,0.000144657,0.036335606,-0.01,-0.0166,0.1107,0.002527389,-0.0316,-0.022308799,-0.0249,-0.0733435,0.0319,-0.00178522,0.1247,0.0684,0.022,0.042256681,0.041053635,0.003124239,0.0017,0.0206,-0.012555,0.009573,-0.0154,-0.0203,0.0031
28/02/1987,0.003166549,-0.001312661,0.000693674,0.008691305,0.001003879,0.00634593,-0.002344304,0.003391911,-0.001011938,-0.002209887,0.0035501,-0.001456172,-0.0144,0.016,-0.00077849,-0.001337697,0.005309627,-0.0266,-0.0175,-0.0021,-0.02438246,-0.0591,-0.050713936,-0.0351,-0.04018167,-0.0012,-0.027610321,0.0439,0.018,-0.0207,-0.002319413,0.00286235,-0.00252162,-0.0076,0.0085,-0.019139,0.020684,0.034,0.001,-0.0111
31/03/1987,-0.009445358,-0.005762827,0.008917343,0.004506525,0.010245191,0.008218021,-0.00674773,0.009760493,-0.007530444,-0.005623004,0.000477054,-0.000937975,0.0136,-0.0266,0.002440853,0.002709329,0.04936525,0.0414,0.0209,-0.0207,0.041810038,0.0161,0.017778098,0.0119,-0.01323575,0.0433,0.017225063,0.0164,0.0074,0.0168,-0.01067377,0.009577667,-0.005880046,0.0136,0.0067,0.042001,-0.011294,0.0028,-0.0051,0.0181
30/04/1987,-0.040071847,-0.027818466,0.000385008,0.014472761,0.030609129,0.013822284,-0.03053694,0.030189555,-0.028029375,-0.019516074,-0.021885538,-0.001154831,-0.0029,-0.052,0.003865543,0.003736171,0.004210088,0.0105,0.0017,-0.0339,0.012165976,-0.0039,0.005743356,0.0043,-0.03988962,0.0368,0.017734832,-0.0211,-0.0402,0.0022,0.013853146,0.014812788,0.005053365,-0.0049,-0.0014,0.003054,-0.015336,-0.0154,0.0086,-0.019
31/05/1987,-0.008105333,-0.004915059,0.005351573,0.006259516,0.011190471,0.0095886,-0.003670028,0.004846557,-0.007308682,-0.006756382,-0.005289041,-2.20E-05,0.0053,-0.0149,-0.001619394,0.003587909,-0.003506787,0.0114,-0.0019,-0.0073,0.000725927,0.0023,0.014837182,0.0059,0.01258425,0.0199,0.007086217,0.0011,0.0078,-0.0074,0.003384708,-0.000666491,0.005016101,0.0051,0.0006,-0.001208,-0.023436,-0.0056,-0.0245,-0.003
30/06/1987,0.008342662,0.000472065,-0.000654824,-0.00887217,0.004090155,0.002059803,-0.002690688,0.000183812,0.001071372,0.00529052,0.007523408,0.001310982,0.0057,0.006,0.003227466,0.003318855,0.022529162,0.0084,0.0112,0.0439,0.031715579,0.0104,0.011253223,0.004,0.02582911,-0.013,0.013952346,0.0394,0.0606,-0.0025,-0.008062869,0.003595444,0.013588879,0.017,0.0003,0.013763,0.014245,-0.0221,-0.0143,0.0001
31/07/1987,-0.006305393,-0.009653164,0.007028235,0.014956979,0.013605061,0.005872251,0.010968028,0.011790127,-0.014189112,-0.007073009,0.010419079,-5.18E-05,0.0059,-0.0226,0.000568685,0.003434788,0.042507915,0.0161,-0.0077,0.0182,0.016954129,0.0068,-0.00558887,0.0077,0.00803324,0.0224,0.020811017,0.0385,0.0354,0.0272,-0.002750697,0.023734832,-0.007941111,-0.0061,0.0169,0.001168,-0.017888,-0.0114,-0.0039,-0.0022
31/08/1987,-0.009595164,-0.008912415,0.007620199,0.007572148,0.008841007,0.005752681,0.007409181,0.006884928,-0.007345615,-0.005074891,-0.005837314,0.000656195,0.009,-0.0211,0.002127404,-0.00066845,-0.005413398,-0.0161,-0.0074,0.0253,-0.022451226,-0.0093,-0.005481284,-0.0062,-0.05904169,-0.0284,-0.014422562,0.0352,0.0427,-0.0086,-0.003562899,0.004647608,0.028877525,0.0204,0.0135,-0.002478,0.038033,-0.0094,-0.0033,0.0245
30/09/1987,-0.033908655,-0.026831665,0.000173261,0.013877568,0.022441136,0.003949279,0.028696712,0.020149769,-0.027301263,-0.017918881,-0.012945945,-0.000474951,-0.0053,-0.0416,0.001169109,0.004668473,0.000571945,0.0187,0.0162,-0.0396,0.006031731,0.0027,-0.001449372,0.0108,0.00162348,0.0298,0.019324368,-0.0259,-0.0073,0.0077,0.024850443,0.008118518,-0.005843301,-0.0097,-0.0047,0.019312,0.005893,0.0038,0.0016,-0.004
31/10/1987,0.022591009,0.027173428,-0.022894441,-0.033810132,-0.02194015,-0.001888822,-0.031578495,-0.01720278,0.027361946,0.021944769,0.028574861,0.006670597,-0.0116,0.0578,-0.004631604,-0.004218448,-0.126904928,0.0234,0.0261,-0.2871,0.04719759,0.0424,0.08482116,0.0147,0.05431057,-0.058,0.047750228,-0.2324,-0.1378,-0.0786,-0.006204529,-0.019493358,0.049813493,0.0204,-0.0117,0.033505,0.003321,-0.0807,-0.0403,-0.0013
