date,cash_at,ope_be,ocf_me,at_turnover,capx_gr2,div12m_me,ppeinv_gr1a,sale_me,ret_12_7,prc_highprc_252d,ni_me,bidaskhl_21d,dolvol_126d,dsale_dsga,cop_atl1,ivol_capm_252d,ivol_ff3_21d,rvol_21d,ebit_sale,ocf_at,opex_at,lnoa_gr1a,oaccruals_at,at_gr1,eqnpo_12m,gp_at,capex_abn,noa_at,o_score,niq_at,chcsho_12m,LRreversal,Leverage
1986-01-31,-0.0075632521517998,-0.019761247275847,0.0006332089433713,-0.0104836526462109,-0.008361727166531,-0.008152092912838,0.0125355050196168,-0.0017024960651728,0.023263193618398,0.0214720970093423,0.0050206621866242,-0.0047652593088617,0.0011696382130559,0.0041126278391332,-0.0031574768643902,0.008372150466668,0.0164093376296663,0.0181049580786766,0.0002506663276401,0.0041692551595384,-0.012541867677244,0.0072797203149293,0.0055236610352604,-0.0092347986181246,-0.0138390291972095,-0.0143259939404071,0.0002093640635426,-0.0197061802453685,-0.0169603944157646,-0.0039107138565405,-0.0106685084897138,0.024204703831838602,-0.009837878254645849
1986-02-28,0.0057079147692601,0.0054419842039721,0.0004218343020805,0.0133680829334587,-0.019596444285696,-0.0008443465234236,-0.0071069563425063,0.005114209339441,0.0222091770360802,0.0330596129779431,0.0224883149141399,-0.0210372713809056,-0.0193330632796137,-0.0063564765760187,-0.0058628345692821,0.0255515745489258,0.01991921621335,0.0189806405566256,0.0073227938616496,0.0028007280867973,0.0139125003978298,-0.0121556575756546,-0.0093940815001441,-0.0173747786373265,-0.0011937904992142,0.0080389083513159,-0.0202458670085917,-0.0115229829477174,0.0127457414183795,0.0223017706018544,-0.0034051048937318,-0.0214854005314723,-0.008648673133735109
1986-03-31,0.0083972289295814,0.0144146426564177,0.0069344826540366,0.0218000438860403,-0.0058909047267925,0.0041120255950421,-0.0012918606030692,0.0100847458596531,0.0200991530129419,0.0138262678061724,0.0138818916863265,-0.0080407046475359,-0.0011860517086845,0.0158521416104836,0.0104520469965727,0.0184657784847304,0.0077233959474462,0.0129084384843253,0.0049632717137654,0.0073496486935458,0.0169902784685234,0.0092649372174961,-0.0007536130342988,-0.0131698214610401,0.0049251907109991,0.0112533429807523,-0.0135771791392621,0.0082925233711135,0.0042789988769136,0.0186043195559873,0.0052468275844261,-0.00781070491693336,0.0210571319845292
1986-04-30,0.0310681809642911,0.0251616089860394,0.011449698079777,0.0242483797190178,-0.0166486987377137,-0.0287725402123815,-0.0073578947664603,-0.0279345500652262,0.0016475743540401,-0.0173889781496085,-0.0151497640438858,0.008290093707165,0.032667902285048,-0.000216135157946,0.009920562539434,-0.0250787199963519,-0.0102762529285652,-0.003757153317394,0.0017592415962496,0.0149851770656892,0.0212993783349634,-0.0095802507333774,-0.0057595343650844,-0.0114087920084418,-0.0154282618469517,0.0374532380061317,0.0022105754117152,0.0023201710047712,0.0061389884678861,0.022720867813842,0.0099965110348235,-0.00329143619548652,-0.020835299701327997
1986-05-31,0.0061975338101852,0.0328417012650507,0.010446428223545,0.020819703291023,0.0098543597979501,0.0007165913999608,-0.001535035726831,-0.0046546563493433,0.0173509157462212,0.0012689749021858,-0.0031203169513392,-0.0092412520011167,-0.0123034452963232,0.0058229011965724,0.0180620735724887,0.0145341633911852,0.0074286961254716,-0.0055015648949902,0.0036746006713043,0.0211224766719617,0.015261770893,0.0023884153283336,0.0062950095214073,-0.0056150332682209,0.0059851312674537,0.0270574980244745,0.0020783595471823,0.0145375370073132,0.0197477857335574,0.0184431573118272,0.0106753024731187,-0.029426902336471203,0.000124910800665305
1986-06-30,-0.0122830908280644,0.0235325439245084,0.0091620239475655,0.0011593345244114,0.0170703516865253,0.0208731473163211,-0.006932122169693,-0.0159537705445069,0.0337177399748695,0.0429838615492134,0.0338259064399443,-0.0143465223648558,-0.0012055313466382,0.0010209420964786,0.0085697041205009,0.0264664269719173,0.0193909407196454,0.0178980987889233,0.036469001862361,0.0137793882879394,-0.0037405213946208,-0.0048049589199844,-0.0089985201258291,-0.0104221445152811,0.0362812142355529,0.0050963742617208,0.0058394658297675,-0.0130939600562494,0.0164414714805528,0.0345476919745764,0.0200813037157582,-0.033624810587523896,0.0095028001141566
1986-07-31,-0.0260863420097355,-0.0078540344776516,0.0250778472865473,-0.0418123864136213,0.0386014249563738,0.0606845695704001,0.0180810945993292,-0.0113296894662029,-0.0028152355388898,0.0431115502075997,0.0571534475378305,-0.042036860109661,-0.0077149071448455,2.15228077395102e-05,0.0061312926939674,0.070020697167772,0.0564555850348394,0.0547212751705396,0.0476027735305941,0.0223486709011684,-0.044160640078817,0.0082493663381662,0.0282713834672197,0.0228418180223501,0.0445108457813999,-0.0289870761315654,0.0294409172166497,-0.018011055798449,0.0220054833605536,0.0085388605783079,-0.0053269267677536,-0.0435557178312424,0.0179710389483999
1986-08-31,-0.0188391742025458,-0.0146115752009513,0.0197087242336162,-0.0308336900330282,0.0091371795500078,0.0472598281174723,0.0242823614418963,0.0282105153750746,-0.0187708980544372,-0.0232582304554617,0.0158395328055291,-0.0137736950986783,-0.0534757161025507,-0.0103441657039406,0.0070437108221805,0.0213216881240836,0.0033927685606148,0.009740224177702,0.0011223781569345,0.0097546154649441,-0.0284995035387802,0.0195193055613426,0.0304635375851184,0.0328903606774466,0.0156033776970692,-0.0320414769854593,0.0115987462167071,0.0102876253972756,0.0069733033107299,-0.0206599673623746,-0.0059790793692088,-0.016282124657127,0.026412031091042
1986-09-30,-0.0195463550406331,-0.0128412570548777,0.0037112750302043,0.0064167187380583,0.0052650700974821,0.0185087908226552,0.0218782651496708,0.043561911686087,-0.0453851299012252,-0.0263747151873509,-0.0037806959481805,0.0082903542776465,0.021663459876194,0.001925694586823,-0.0106820649870848,-0.013339852044831,-0.0124416488441706,-0.0092157988592657,-0.0282452877726041,-0.0110768069500417,0.013186719045347,0.0221816904095448,0.016352903045034,0.0325110020321025,0.0126143826470938,-0.0104567466051528,-0.002234265370487,0.0074842829402028,-0.0270495303483114,-0.0273148124790765,0.0143936891324512,0.0104185740014094,0.0423892896020413
1986-10-31,-0.0083958584775479,0.0243405565147737,0.0092874844272221,0.0297587216981506,-0.0059242474411155,0.0044239416664687,-0.0152434912770942,0.003247553611885,0.0306913296061682,-0.0200188073115395,-0.0025522277141892,-0.0068442308435164,-0.0442245059315729,0.0017443442555365,0.0129733556830234,0.0110463886761325,0.0073894161965423,-0.005915498656061,0.0006474507264919,0.0111345473625536,0.0272558312128937,-0.0026381555686337,-0.0053175372881982,-0.000580443461021,0.0129850821958637,0.0319951915415714,-0.0117602355922165,-0.005329945407777,0.0248865964483427,0.0298966843232462,0.0118268819786259,-0.0291029450366345,-0.0199432500813761
