date,MKTB,DRF,MKTBD,CRF,VAL,CRY,MOMB,LTREVB,DUR,HMLB,STREVB,SZE,DEF,TERM,PEADB,MOMBS
31/05/1988,-0.010795782,-0.011759697,0.005792799,0.00673908,0.009009978,0.007452361,-0.005593441,0.010667837,-0.006032101,-0.007302878,-0.009370293,-0.003986443,0.0045,-0.0148,0.000908498,0.000274699
30/06/1988,0.019501791,0.021818407,-0.004583483,-0.001976556,-0.013621185,0.007457833,0.000170395,-0.008824593,0.022722765,0.016741053,0.017445448,0.003571694,0.0011,0.0317,0.000588791,-0.006835084
31/07/1988,-0.00635452,-0.007973101,0.010028207,0.008285288,0.006734802,0.003112192,0.004655456,0.005192385,-0.00928796,-0.005601201,0.012379485,-0.001322105,0.0059,-0.0219,0.000811382,0.001490466
31/08/1988,-0.003471349,-0.000618796,0.00112476,-0.003895465,-0.000269284,0.005976293,-0.00035214,0.000890621,0.005119902,0.002388734,-0.001237624,0.001676112,-0.0004,0.0007,0.002552547,0.000202735
30/09/1988,0.01500488,0.014229356,-0.006486542,-0.007605606,-0.009640736,0.002102864,-0.013124101,-0.009471147,0.012347094,0.011375836,-0.000489305,0.002187368,-0.0019,0.0286,-0.000260333,-0.003210819
31/10/1988,0.010859898,0.013919353,-0.00492834,-0.005070955,-0.006225446,0.003003619,-0.006640664,-0.005925088,0.013428097,0.008038168,-0.014626234,0.005848381,-0.0035,0.0246,0.004900727,0.003236427
30/11/1988,-0.011884663,-0.009981178,0.010754962,0.01132563,0.009760381,0.009043347,-0.006614729,0.005595954,-0.005263622,-0.001868313,0.012699297,0.007050326,0.0027,-0.0257,-0.001432917,-0.002742228
31/12/1988,-0.003609431,0.000760852,-0.001268633,0.000182623,-0.000981247,0.003170573,0.003960942,0.00022614,0.002714207,-0.002351833,0.000844663,-0.000708256,-0.0071,0.0053,-0.001100749,-0.000471406
31/01/1989,0.009188539,0.008329436,-0.001375117,0.000148993,-0.001224033,0.005384727,0.000981212,-0.003577465,0.005025461,0.007307704,0.006562017,-0.000994847,-1.00E-04,0.014,0.002068383,7.85E-05
28/02/1989,-0.010760326,-0.007970577,0.008228611,0.006396495,0.008268862,0.004035445,-0.00655494,0.007325792,-0.007432341,-0.003434402,0.007954914,-0.000818905,0.005,-0.0234,0.000953349,0.00025834
31/03/1989,-0.00487977,-0.001369556,-0.005993135,-0.002186919,-0.001932648,0.001356046,0.000680196,0.000977147,0.002127617,-0.001168732,0.002872308,6.45E-05,-0.0058,0.0061,-0.001858032,0.001810798
30/04/1989,0.005302309,0.00496725,-0.011036095,-0.013318039,-0.010795622,-0.007646441,-0.004762838,-0.007900126,0.005926327,0.00370284,-0.015470392,0.001867065,0.0054,0.0092,-0.000379906,0.001528387
31/05/1989,0.018680179,0.016067289,-0.000930407,-0.007427414,-0.011865477,-0.001095972,-0.006483764,-0.010802843,0.01627947,0.011306887,-0.009109812,0.001496045,-0.0022,0.0334,-0.000846013,-0.000331337
30/06/1989,0.021431707,0.019042697,-0.011106055,-0.009066958,-0.015727184,-0.007921617,0.004897895,-0.003928483,0.019709187,0.011975097,-0.019341232,0.005342191,-0.0155,0.0471,0.000725149,0.001508908
