date,UNC,UNCf,UNCr,VIX,INFLV,INFLC,CPTL,LVL,YSP,LIQNT,EPU,EPUT,IVOL,CREDIT
30/06/1988,-0.008232828,-0.031619235,-0.006930253,-0.0178,0.005534926,-0.000546678,0.0682,2.249991442,0.00732636,0.01933267,-0.00636323,-0.017011478,0.60262181,0.0114
31/07/1988,-0.002233912,-0.012470447,-0.006361433,-0.0058,0.005282439,0.001219084,0.002,2.520543347,0.006723854,0.03229522,-0.00460054,0.006171577,0.569500369,0.0115
31/08/1988,-0.002529478,-0.035080773,0.002372325,-0.0211,0.00540482,-7.37E-05,-0.0154,2.665252445,0.005622237,0.02649088,0.01497648,-0.00915118,0.543345328,0.011
30/09/1988,-0.001145856,-0.02483006,-0.000440591,0.0123,0.004441171,0.000397302,0.0161,2.419943072,0.003649321,0.00111598,-0.00560436,0.006112992,0.536736809,0.0108
31/10/1988,0.002608502,-0.016785241,0.002422187,-0.048,0.003763667,0.002801679,-0.0121,2.234522547,0.003430655,0.00297793,0.00767669,0.006817467,0.52858945,0.009
30/11/1988,0.001032716,-0.009003656,5.19E-06,0.0405,0.002430749,-0.000225393,-0.0152,2.625812011,0.001794532,-0.00931725,0.01172911,0.070972416,0.535029639,0.0103
31/12/1988,0.004133001,-0.000574263,-0.003832086,-0.0312,0.001581495,-8.74E-05,-0.023,2.709091514,0.001770326,0.00213971,-0.01429356,-0.061058602,0.525535823,0.0108
31/01/1989,0.016955027,-0.003590059,0.010086844,-0.0014,0.001670305,0.0003761,0.0808,2.610450991,-0.000413275,0.07441023,0.00540903,0.048584977,0.560417589,0.0103
28/02/1989,0.028596033,0.002660614,0.012125081,-0.0078,0.001612558,0.001162767,-0.0326,2.912881166,-0.00140492,0.01227245,-0.02023052,-0.052841718,0.562545732,0.0097
31/03/1989,0.006354403,-0.006180148,0.020536112,-0.0019,0.001508105,-9.61E-05,0.0541,2.969514543,-0.00282161,0.00683067,0.01237084,-0.02023165,0.556768541,0.0087
30/04/1989,-0.00590706,-0.002883067,-0.002351785,-0.0133,0.002324898,0.001147913,0.0074,2.692445499,-0.001179658,-0.00360202,0.01164738,0.011768947,0.572936078,0.0082
31/05/1989,-3.68E-05,0.008737511,0.004585905,-0.0006,0.005478741,-0.000102046,0.0374,2.37212346,-0.001641186,0.04803131,-0.02104702,-0.001858664,0.577080956,0.0089
30/06/1989,0.006023283,0.010543805,0.01253156,0.0129,0.005188535,0.001133267,-0.0484,1.921884394,-0.001888182,0.00050057,0.0070237,-0.028229607,0.574126604,0.0093
31/07/1989,-0.002395305,0.008203515,-0.003510785,-0.0046,0.005245674,0.000668824,0.1142,1.605073844,-0.000872674,0.02469981,-0.01026982,0.03027586,0.542868507,0.0094
31/08/1989,0.007157088,0.019751856,0.017774614,0.0185,0.005601381,-0.000111078,-0.002,2.039298053,-0.001128303,-0.05378194,0.01129046,-0.013985719,0.547164102,0.0092
30/09/1989,0.000832131,-0.000626425,0.00774719,-0.0225,0.008472783,-0.000432321,0.0112,2.133573495,-0.001414996,0.01571399,-0.00494218,-0.019749093,0.555513194,0.009
31/10/1989,-0.015080123,0.014704299,-0.016789939,-0.0134,0.008511244,0.000788431,-0.0712,1.734764551,-0.000421157,-0.11341527,0.00067849,0.039993313,0.550723941,0.0089
30/11/1989,-0.000913947,0.031275933,-0.001511575,0.0705,0.00621654,0.002632447,-0.0149,1.663989442,0.000433114,0.01638802,0.01625244,-0.024410554,0.550481291,0.0092
31/12/1989,0.0048785,0.004729464,0.009371235,-0.0411,0.005716076,-0.000257036,-0.0035,1.798266323,-0.000136047,0.00835103,-0.0007539,0.022562519,0.555813875,0.0096
31/01/1990,0.026497488,0.024274192,0.033177861,-0.0149,0.005709763,0.000634665,-0.1097,2.130502824,0.001958241,-0.00601552,-0.00673605,0.019040584,0.596681384,0.0095
28/02/1990,0.036960254,0.048284829,0.039693402,0.0763,0.010913168,0.000628717,0.0256,2.204473138,0.003520419,0.02545627,-0.01076822,-0.010043414,0.61242368,0.0092
31/03/1990,-0.011101983,-0.011826981,-0.017695529,-0.0297,0.008670668,0.001376678,-0.0349,2.349317109,0.002053048,0.03496192,-0.00352567,-0.019487912,0.618137272,0.0084
30/04/1990,-0.016714146,0.007043246,-0.02331194,0.0094,0.00783343,0.002423963,-0.0426,2.63157726,0.0038338,0.00813897,-0.00940359,-0.000285799,0.634374697,0.0084
31/05/1990,-0.007326157,0.030604386,-0.0081132,-0.0441,0.008713626,-0.000711136,0.0986,2.290460111,0.003614637,0.01081232,0.04187624,-0.000392872,0.657879767,0.0094
30/06/1990,-0.005325856,0.033990431,-0.014241049,-0.0134,0.00973775,-0.000142991,-0.0325,2.123538818,0.002836412,-0.0039163,0.0019888,-0.001021077,0.677952642,0.0096
31/07/1990,-0.003500692,0.01326228,-0.013429969,-0.0083,0.009914788,0.002513313,-0.0723,2.014148846,0.003768434,-0.0162279,-0.00895712,0.015769256,0.650558364,0.0096
31/08/1990,0.004252368,0.04184,-0.001494829,0.0538,0.00585307,0.001194485,-0.1113,2.35216293,0.005511622,0.00356192,0.03059563,0.05285142,0.641661314,0.01
30/09/1990,0.016482934,0.067663046,0.011472237,0.0794,0.008672323,0.001915912,-0.1389,2.289318344,0.006431694,0.05742455,0.01553005,0.04743941,0.637109237,0.0108
31/10/1990,-0.006772919,-0.018456879,-0.00674675,-0.0152,0.009214795,-0.000715993,-0.0768,2.12908493,0.006711539,0.04872363,-0.01657576,0.046842677,0.636773713,0.0121
30/11/1990,0.010036518,-0.036468588,0.014972035,0.0219,0.008238729,0.000566133,0.1185,1.892502545,0.004698514,0.00720201,0.0041714,-0.045494731,0.651264789,0.0132
31/12/1990,0.014408363,-0.025380743,0.011603275,-0.0796,0.007410732,-0.000163686,0.0515,1.701378917,0.00686863,-0.03005,-0.01080582,-0.059173352,0.649994779,0.0138
31/01/1991,-0.000730366,-0.033001929,-0.007361123,0.0433,0.007928135,0.001702334,0.0506,1.617801988,0.009153055,0.02249361,0.04117348,0.121528263,0.705953451,0.0141
28/02/1991,0.000661061,-0.005614496,0.002992547,-0.0558,0.008242324,0.002998749,0.106,1.609076205,0.010375359,-0.03830775,-0.06044515,-0.088210986,0.774996691,0.0124
31/03/1991,-0.012865929,-0.014921548,-0.016080794,-0.0018,0.008405324,0.00028635,0.0109,1.625381789,0.013005033,-0.02536583,0.00081225,-0.079857141,0.838413335,0.0116
30/04/1991,-0.019134766,-0.044264112,-0.011883969,-0.0344,0.00846044,-0.00172543,0.0198,1.552523114,0.013816306,0.04377399,-0.00878402,-0.004966417,0.870323052,0.0108
31/05/1991,-0.009524654,-0.031119213,0.008714226,0.0035,0.005270968,0.000653384,0.0379,1.595285047,0.012967941,-0.00006267,-0.012483,-0.001395554,0.845817055,0.01
30/06/1991,-0.015405438,-0.007475597,-0.003523971,-0.009,0.005737524,0.000233714,-0.0955,1.713840335,0.014407306,0.04932604,0.00217893,-0.004388103,0.832248269,0.0095
31/07/1991,-0.010212007,-0.003403453,-0.007230699,0.0177,0.00537964,0.00093587,0.0782,1.622539899,0.014725967,0.00287164,-0.00340603,0.026976088,0.826563442,0.0089
31/08/1991,-0.016090859,-0.018110268,-0.014613832,-0.0317,0.004783646,0.000516472,0.0464,1.33331531,0.014259591,-0.02112269,0.00706396,-0.032360974,0.798444305,0.009
30/09/1991,-0.013886103,-0.015654484,-0.017099735,0.011,0.004569017,0.001211416,-0.0225,1.073357054,0.013750311,0.01618941,0.01645227,0.007189033,0.753928744,0.009
31/10/1991,-0.003138974,0.001155487,5.91E-05,-0.0176,0.002635629,9.54E-05,-0.0208,0.992139599,0.014923773,0.01995082,-0.01150639,0.043998106,0.747042176,0.0094
30/11/1991,-0.008690568,0.015877959,-0.009284061,0.0079,0.003139666,-0.000890517,-0.1008,0.889298207,0.016793981,-0.00296858,0.01670773,0.107937486,0.745345657,0.0097
31/12/1991,0.000804746,0.031083573,-0.002799524,0.0458,0.00379001,0.00131169,0.0895,0.407319087,0.017952394,-0.07357594,0.01774996,-0.043388924,0.764594494,0.0095
31/01/1992,0.008043277,0.02181666,0.010504439,-0.0123,0.003782759,0.000492354,0.0237,0.754654508,0.020570592,-0.04227593,-0.03079827,0.049781418,0.909391734,0.0093
29/02/1992,0.003864179,-0.031004208,0.008375798,-0.0075,0.004442829,-0.000201513,0.0442,0.783577945,0.020541329,0.01188019,0.01633593,-0.037157236,0.90348288,0.0094
31/03/1992,-0.002032281,-0.041494299,0.000457635,-0.0132,0.00441654,-0.000487669,0.0588,0.997270465,0.022744072,0.0215656,-0.03383094,-0.061667387,0.912969057,0.009
30/04/1992,-0.008310239,-0.029410688,-0.014988047,-0.004,0.004695976,0.00128542,0.0133,0.967103814,0.024578555,0.04550346,-0.00412353,-0.047829052,0.868090099,0.0088
31/05/1992,-0.000426933,-0.021852726,-0.011414241,0.0013,0.004407418,-0.000207547,0.0194,0.765098472,0.022499292,0.05052605,0.00929265,0.012829585,0.849667736,0.0085
30/06/1992,-0.007454001,-0.020864793,-0.003702651,-0.0218,0.003321355,0.000871964,0.001,0.616561467,0.021690551,0.00804843,0.02547422,-0.014456634,0.829191431,0.0083
31/07/1992,-0.002482558,-0.002762934,0.001057284,-0.0109,0.003304249,-0.000891586,-0.0017,0.292329354,0.021084028,-0.05195348,-0.00143424,0.036399721,0.626471239,0.0077
31/08/1992,0.006182052,-0.01318295,0.014629251,0.0049,0.002029133,0.001259757,-0.0633,0.198834733,0.020748379,-0.00201209,-0.00500741,0.065447865,0.578851299,0.007
30/09/1992,-0.000267492,-0.009862148,0.006261536,-0.0043,0.002048192,-0.000891831,0.005,0.016239866,0.021886894,0.03270762,0.0111121,-0.02685544,0.550326063,0.007
31/10/1992,0.005340076,-0.014549697,0.005076166,0.0291,0.001277235,-0.000775726,0.0203,0.363257292,0.022162289,-0.05414941,0.01150217,0.055225306,0.561931796,0.0085
30/11/1992,0.006121194,-0.003020293,0.004894073,0.0036,0.00284663,0.002984582,0.0799,0.517729721,0.022638743,0.03187124,-0.01974493,-0.045195102,0.585400599,0.0086
31/12/1992,-0.006573858,0.007811145,-0.011974847,-0.0387,0.002672712,-0.00100918,0.099,0.343232673,0.023413659,0.02333135,-0.01190895,-0.080021249,0.596780278,0.0083
31/01/1993,0.009702906,-0.010976254,0.01745,0.0056,0.003350094,0.000168627,0.0286,0.085911709,0.020684932,0.04052532,-0.00433758,0.055011867,0.63126584,0.0076
28/02/1993,0.000415534,-0.004833637,0.001890464,-0.0103,0.00358973,0.000832116,0.0292,-0.149879611,0.018510364,-0.01025181,0.0174322,0.041945088,0.635195195,0.0068
31/03/1993,-0.016356774,-0.002802449,-0.020790043,0.0127,0.003603187,0.000436321,-0.0003,-0.137371647,0.01858879,-0.00706513,0.00159534,-0.052325963,0.637988343,0.0057
30/04/1993,-0.004525052,-0.003394935,-0.002533344,-0.0058,0.00400793,-0.001555641,-0.0415,-0.17205105,0.018147425,0.0376187,-0.01230103,-9.80E-05,0.637214544,0.0068
31/05/1993,-0.00590802,-0.000762911,-0.013204336,-0.0012,0.003338408,0.002254194,0.0114,-0.050680051,0.016260184,0.00918761,0.02433282,0.100592841,0.622350725,0.0078
30/06/1993,-0.006990209,-0.012116029,-0.012514156,0.0077,0.003328052,-0.000620796,0.0635,-0.277487948,0.015113291,0.00934653,-0.00754089,-0.055759218,0.642347019,0.0074
31/07/1993,-0.011379779,-0.013884112,-0.011974836,-0.0216,0.003955861,-0.000507551,0.025,-0.273164823,0.015057295,0.00883167,-0.00846426,-0.011886071,0.603595892,0.0076
31/08/1993,-0.008585931,-0.007287343,-0.00512797,-0.0004,0.003552873,-0.000780269,0.0406,-0.525386574,0.012859366,0.02522179,-0.01155215,0.029410634,0.681921161,0.0075
30/09/1993,-0.000105671,0.001969671,0.001335306,1.00E-04,0.003550941,0.001568557,0.019,-0.549281208,0.013492328,0.03645046,0.00024233,-0.078897544,0.677043759,0.0068
31/10/1993,0.007905753,-0.001921205,0.01270505,0.0035,0.003557342,-0.002200561,-0.0575,-0.533708482,0.013189283,0.01427176,-0.021787,-0.049023865,0.684354118,0.0064
30/11/1993,0.004978668,0.007281226,0.001838102,-0.0005,0.004265876,0.001940725,-0.0139,-0.297296548,0.014516835,0.02094429,6.89E-05,0.006910807,0.6671355,0.0073
31/12/1993,0.000264845,0.00934327,0.001218819,0.0205,0.004252539,0.000406848,0.0211,-0.280274708,0.015074092,0.02956369,-0.00703628,0.000715173,0.629557225,0.0076
31/01/1994,0.025936945,0.00242391,0.034161929,-0.0126,0.003579432,-0.000245386,0.0745,-0.401771789,0.01444075,0.06981674,0.00248947,0.021829594,0.643884355,0.0073
28/02/1994,0.008610501,0.003208059,0.006136601,-0.0192,0.004763705,-0.001161571,-0.0613,0.03322378,0.014593388,-0.03992657,0.0145829,-0.02793301,0.563087996,0.0068
31/03/1994,-0.008219725,0.00676574,-0.011304244,0.0518,0.004856773,0.00024173,-0.1147,0.463892176,0.017028733,-0.01090847,-0.00758638,-0.013829732,0.546694236,0.0065
30/04/1994,-0.001881712,0.012154979,-0.003181949,0.0804,0.004699645,0.001150552,0.0277,0.74325289,0.014799583,-0.05269315,0.01341005,0.014734269,0.520511162,0.0064
31/05/1994,-0.014521348,-0.02087342,-0.028681594,-0.0976,0.004146519,-0.001536959,0.0376,0.867568305,0.013547146,-0.00172541,-0.00388906,-0.005423535,0.522142455,0.0063
30/06/1994,-0.005009888,-0.006181915,-0.017374281,-0.0139,0.003881196,0.000875774,-0.0383,1.003996029,0.014230762,-0.03634845,-0.00414753,-0.005843006,0.514093834,0.0068
